"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Ampharos","Charge Beam","Dragon Pulse","12.442","293.9","566.1","2852"
"Shadow Magnemite","Spark","Magnet Bomb","12.442","105.7","203.6","1362"
"Beheeyem","Confusion","Rock Slide","12.437","301.1","579.3","2753"
"Lilligant","Charm","Solar Beam","12.437","274.4","527.9","2550"
"Fraxure","Iron Tail","Dragon Claw","12.436","214.4","412.3","2234"
"Typhlosion","Shadow Claw","Fire Blast","12.436","326.1","627.2","2889"
"Arcanine","Bite","Return","12.435","346.8","666.7","3029"
"Aerodactyl","Rock Throw","Iron Head","12.433","307.8","591.4","2783"
"Kadabra","Confusion","Psybeam","12.43","153.7","295.2","2059"
"Starmie","Water Gun","Hydro Pump","12.43","291.8","560.4","2584"
"Simisear","Fire Spin","Fire Blast","12.427","250.2","480.2","2350"
"Tornadus (Therian Forme)","Bite","Hyper Beam","12.426","357.1","685.2","3215"
"Scyther","Steel Wing","X-Scissor","12.425","298.3","572.2","2706"
"Arcanine","Bite","Fire Blast","12.424","346.4","664.3","3029"
"Bisharp","Snarl","X-Scissor","12.423","293.1","562","2844"
"Shadow Gliscor","Wing Attack","Aerial Ace","12.422","333.7","639.6","2692"
"Leavanny","Bug Bite","X-Scissor","12.421","304.1","582.8","2580"
"Shadow Poliwrath","Rock Smash","Power-Up Punch","12.421","317.3","608","2586"
"Golem","Mud Slap","Stone Edge","12.419","376.3","720.8","2949"
"Porygon-Z","Charge Beam","Blizzard","12.418","302.9","579.9","3266"
"Shadow Muk","Lick","Sludge Wave","12.415","333","637.2","2757"
"Galvantula","Volt Switch","Discharge","12.412","230.3","440.5","2206"
"Aerodactyl","Rock Throw","Ancient Power","12.411","307.2","587.3","2783"
"Entei","Fire Spin","Flame Charge","12.41","426.1","814.5","3473"
"Girafarig","Confusion","Psychic","12.409","238.3","455.5","2046"
"Lugia","Dragon Tail","Sky Attack","12.408","699.6","1336.4","3703"
"Scyther","Air Slash","Bug Buzz","12.407","297.9","568.9","2706"
"Haunter","Shadow Claw","Dark Pulse","12.406","150.2","286.8","1963"
"Shadow Nuzleaf","Feint Attack","Grass Knot","12.406","124.8","238.2","1227"
"Feraligatr","Waterfall","Hydro Pump","12.405","372.2","710.5","2857"
"Bisharp","Metal Claw","X-Scissor","12.404","292.7","558.5","2844"
"Machamp","Karate Chop","Stone Edge","12.4","332.4","633.8","3056"
"Shadow Lapras","Frost Breath","Blizzard","12.4","395.8","754.6","2641"
"Shadow Stantler","Zen Headbutt","Stomp","12.399","201","383.1","2164"
"Alolan Muk","Snarl","Gunk Shot","12.394","398.9","759.4","2757"
"Mega Abomasnow","Powder Snow","Return","12.39","432.5","822.8","3405"
"Shadow Slowking","Confusion","Blizzard","12.388","322.7","613.4","2545"
"Regigigas","Hidden Power (Fire)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Fighting)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Water)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Flying)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Grass)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Poison)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Electric)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Ground)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Psychic)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Rock)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Ice)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Bug)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Dragon)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Ghost)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Dark)","Thunder","12.387","454.5","863.8","4337"
"Regigigas","Hidden Power (Steel)","Thunder","12.387","454.5","863.8","4337"
"Armaldo","Fury Cutter","Rock Blast","12.385","318.4","604.8","2848"
"Mega Steelix","Thunder Fang","Heavy Slam","12.385","633.8","1204.1","3670"
"Typhlosion","Shadow Claw","Solar Beam","12.385","324.8","616.9","2889"
"Shadow Ninetales","Fire Spin","Fire Blast","12.383","281.9","535.2","2279"
"Rapidash","Fire Spin","Fire Blast","12.379","270.7","513.4","2461"
"Staraptor","Quick Attack","Close Combat","12.373","283.5","536.9","2825"
"Torterra","Bite","Solar Beam","12.372","402.6","762.6","2934"
"Torterra","Razor Leaf","Earthquake","12.372","402.6","762.4","2934"
"Charizard","Ember","Return","12.371","324.4","614.3","2889"
"Duosion","Hidden Power (Psychic)","Psyshock","12.371","180.3","341.4","2018"
"Maractus","Poison Jab","Solar Beam","12.371","244","461.9","2274"
"Mega Glalie","Frost Breath","Gyro Ball","12.371","354.3","670.7","3229"
"Shadow Banette","Hex","Thunder","12.37","178.5","337.9","2298"
"Shadow Nuzleaf","Feint Attack","Leaf Blade","12.367","124.4","235.3","1227"
"Starmie","Hidden Power (Fire)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Fighting)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Flying)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Grass)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Poison)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Electric)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Ground)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Rock)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Ice)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Bug)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Dragon)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Ghost)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Dark)","Psychic","12.367","290.4","549.2","2584"
"Starmie","Hidden Power (Steel)","Psychic","12.367","290.4","549.2","2584"
"Electivire","Low Kick","Flamethrower","12.365","299.4","565.9","3079"
"Mega Gyarados","Waterfall","Twister","12.364","571.2","1079.6","4717"
"Rotom Fan","Air Slash","Thunderbolt","12.364","305.2","576.9","2579"
"Heatran","Bug Bite","Stone Edge","12.362","438.1","827.7","3754"
"Feraligatr","Water Gun","Hydro Pump","12.361","370.9","700.6","2857"
"Fearow","Peck","Sky Attack","12.36","226","426.6","1997"
"Shadow Machoke","Low Kick","Cross Chop","12.36","205.1","387.4","2031"
"Leafeon","Razor Leaf","Last Resort","12.354","357.1","673.3","2944"
"Shadow Venomoth","Confusion","Bug Buzz","12.354","211.1","398","2082"
"Thundurus  (Incarnate Forme)","Thunder Shock","Brick Break","12.346","311.3","585.8","3345"
"Omastar","Water Gun","Hydro Pump","12.343","346","650.6","2786"
"Deoxys (Speed Forme)","Zen Headbutt","Thunderbolt","12.342","303.3","570.2","2879"
"Nidoking","Fury Cutter","Earthquake","12.342","301.7","567.3","2567"
"Mew","Snarl","Grass Knot","12.336","462.3","867.7","3265"
"Mew","Snarl","Wild Charge","12.336","462.3","867.7","3265"
"Hitmonlee","Rock Smash","Return","12.334","255","478.5","2576"
"Shadow Venomoth","Confusion","Psychic","12.334","210.7","395.4","2082"
"Shadow Abomasnow","Powder Snow","Blizzard","12.333","273.9","513.9","2362"
"Shadow Hitmonchan","Rock Smash","Close Combat","12.333","229.8","431.1","2332"
"Exeggutor","Bullet Seed","Return","12.329","324.1","607.4","3014"
"Carnivine","Bite","Power Whip","12.328","250.6","469.5","2159"
"Golurk","Mud Slap","Shadow Punch","12.328","318.1","595.9","2854"
"Shadow Hitmonchan","Rock Smash","Brick Break","12.328","229.7","430.4","2332"
"Shadow Ivysaur","Razor Leaf","Sludge Bomb","12.328","191.5","358.7","1699"
"Banette","Hex","Return","12.323","213.4","399.4","2298"
"Pinsir","Rock Smash","X-Scissor","12.323","299.9","561.2","2959"
"Mega Blastoise","Bite","Flash Cannon","12.319","481.1","899.4","3941"
"Shadow Ivysaur","Vine Whip","Solar Beam","12.317","191.3","357.5","1699"
"Shadow Nuzleaf","Razor Leaf","Leaf Blade","12.317","123.9","231.5","1227"
"Scolipede","Poison Jab","X-Scissor","12.316","276.1","515.7","2447"
"Shadow Golduck","Confusion","Bubble Beam","12.316","258.4","482.8","2450"
"Thundurus  (Incarnate Forme)","Astonish","Thunder","12.315","310.6","580","3345"
"Heracross","Struggle Bug","Close Combat","12.312","339.8","634.2","3101"
"Shadow Grotle","Razor Leaf","Solar Beam","12.311","220.5","411.4","1890"
"Mega Aggron","Dragon Tail","Stone Edge","12.302","607.6","1131.4","4162"
"Donphan","Mud Slap","Heavy Slam","12.301","379","705.4","3013"
"Reuniclus","Hidden Power (Psychic)","Future Sight","12.301","357.6","665.7","2927"
"Togekiss","Air Slash","Aerial Ace","12.301","421.8","785.1","3332"
"Accelgor","Acid","Signal Beam","12.3","236.2","439.5","2441"
"Scyther","Steel Wing","Bug Buzz","12.297","295.2","549","2706"
"Shadow Ninetales","Fire Spin","Solar Beam","12.294","279.8","519.9","2279"
"Latias","Dragon Breath","Thunder","12.292","456.4","847.8","3510"
"Shadow Lapras","Frost Breath","Hydro Pump","12.292","392.3","728.7","2641"
"Haunter","Lick","Shadow Punch","12.289","148.8","276.1","1963"
"Golurk","Astonish","Dynamic Punch","12.282","316.9","587.2","2854"
"Scyther","Steel Wing","Return","12.281","294.8","546.2","2706"
"Shadow Nuzleaf","Razor Leaf","Grass Knot","12.281","123.5","228.8","1227"
"Tyranitar","Iron Tail","Fire Blast","12.279","454","840.6","3834"
"Alolan Golem","Rock Throw","Rock Blast","12.278","372.1","688.6","2949"
"Golem","Rock Throw","Rock Blast","12.278","372.1","688.6","2949"
"Tangela","Vine Whip","Solar Beam","12.277","279","516.3","2238"
"Mega Steelix","Thunder Fang","Earthquake","12.276","628.2","1162.2","3670"
"Shiftry","Razor Leaf","Return","12.276","257.2","475.8","2333"
"Golem","Mud Shot","Earthquake","12.275","372","688","2949"
"Shadow Machoke","Karate Chop","Brick Break","12.275","203.7","376.8","2031"
"Charizard","Ember","Fire Blast","12.273","321.9","595","2889"
"Typhlosion","Ember","Fire Blast","12.273","321.9","595","2889"
"Swampert","Mud Shot","Earthquake","12.27","388.3","717.2","2974"
"Shadow Nidoqueen","Poison Jab","Stone Edge","12.269","296.1","546.8","2488"
"Shaymin (Land Forme)","Zen Headbutt","Solar Beam","12.269","459.8","849.2","3265"
"Shadow Charmeleon","Fire Fang","Fire Punch","12.263","166","306.1","1653"
"Snorlax","Lick","Return","12.263","540.2","996.4","3225"
"Shadow Beedrill","Infestation","X-Scissor","12.261","183","337.3","1846"
"Mew","Rock Smash","Psychic","12.26","459.4","846.7","3265"
"Lunatone","Rock Throw","Psychic","12.258","317.3","584.5","2327"
"Solrock","Rock Throw","Psychic","12.258","317.3","584.5","2327"
"Porygon-Z","Hidden Power (Fire)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Fighting)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Water)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Flying)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Grass)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Poison)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Electric)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Ground)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Psychic)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Rock)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Ice)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Bug)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Dragon)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Ghost)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Dark)","Zap Cannon","12.255","298.9","550.2","3266"
"Porygon-Z","Hidden Power (Steel)","Zap Cannon","12.255","298.9","550.2","3266"
"Tornadus (Therian Forme)","Air Slash","Dark Pulse","12.255","352.2","648.2","3215"
"Mega Steelix","Dragon Tail","Heavy Slam","12.251","626.9","1152.5","3670"
"Shadow Mawile","Fire Fang","Play Rough","12.251","168","308.9","1634"
"Leavanny","Razor Leaf","X-Scissor","12.249","299.9","551.2","2580"
"Alolan Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Galvantula","Charge Beam","Discharge","12.248","227.3","417.6","2206"
"Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Shadow Lapras","Ice Shard","Ice Beam","12.243","390.8","717.1","2641"
"Roselia","Razor Leaf","Sludge Bomb","12.241","188.5","345.8","1870"
"Shadow Ninetales","Feint Attack","Overheat","12.238","278.6","510.6","2279"
"Poliwrath","Bubble","Dynamic Punch","12.237","375.2","687.5","2586"
"Fearow","Steel Wing","Sky Attack","12.234","223.7","409.6","1997"
"Girafarig","Tackle","Psychic","12.234","235","430.2","2046"
"Scolipede","Bug Bite","X-Scissor","12.234","274.2","502.1","2447"
"Shadow Raticate","Quick Attack","Hyper Beam","12.232","175.4","321","1730"
"Weepinbell","Razor Leaf","Power Whip","12.228","161.6","295.5","1611"
"Porygon2","Lock-On","Return","12.226","352.4","644.1","2711"
"Mega Slowbro","Confusion","Ice Beam","12.225","590.7","1079.2","3755"
"Typhlosion","Ember","Solar Beam","12.224","320.6","585.5","2889"
"Wailord","Water Gun","Surf","12.224","313.2","572.2","2280"
"Magmar","Karate Chop","Flamethrower","12.222","255.1","465.8","2394"
"Shadow Poliwrath","Mud Shot","Hydro Pump","12.222","312.3","570.1","2586"
"Flygon","Mud Shot","Dragon Claw","12.219","318.1","580.3","2661"
"Shadow Poliwrath","Bubble","Submission","12.219","312.2","569.5","2586"
"Shadow Porygon2","Charge Beam","Solar Beam","12.219","293.5","535.5","2711"
"Hippowdon","Bite","Earth Power","12.217","443.6","808.9","3085"
"Mew","Snarl","Psyshock","12.217","457.8","834.9","3265"
"Rotom Frost","Thunder Shock","Blizzard","12.214","301.5","549.3","2579"
"Shiftry","Bullet Seed","Foul Play","12.211","255.8","465.8","2333"
"Shadow Dragonair","Dragon Breath","Dragon Pulse","12.21","181.1","329.7","1780"
"Sneasel","Ice Shard","Avalanche","12.21","219.6","399.8","2051"
"Conkeldurr","Poison Jab","Stone Edge","12.207","363.4","661.1","3337"
"Ursaring","Counter","Close Combat","12.205","299","543.5","2945"
"Shadow Muk","Poison Jab","Thunder Punch","12.204","327.3","594.9","2757"
"Mega Aggron","Dragon Tail","Thunder","12.202","602.7","1094.8","4162"
"Ho-Oh","Hidden Power (Fire)","Earthquake","12.199","502.1","911.7","3863"
"Ho-Oh","Hidden Power (Flying)","Earthquake","12.199","502.1","911.7","3863"
"Mew","Pound","Grass Knot","12.198","457.1","829.8","3265"
"Mew","Pound","Wild Charge","12.198","457.1","829.8","3265"
"Banette","Shadow Claw","Thunder","12.197","211.2","383.3","2298"
"Scyther","Fury Cutter","Aerial Ace","12.197","292.8","531.2","2706"
"Mega Steelix","Dragon Tail","Earthquake","12.196","624.1","1132.1","3670"
"Mega Kangaskhan","Low Kick","Earthquake","12.193","519.4","941.5","3850"
"Azelf","Extrasensory","Swift","12.19","275.2","498.5","3210"
"Beartic","Powder Snow","Surf","12.19","326.3","591.1","3042"
"Moltres","Fire Spin","Ancient Power","12.19","368.1","666.8","3465"
"Venusaur","Vine Whip","Return","12.189","353.8","640.6","2720"
"Shadow Ninetales","Ember","Flamethrower","12.185","277.4","501.8","2279"
"Venusaur","Vine Whip","Petal Blizzard","12.184","353.6","639.6","2720"
"Nidoking","Iron Tail","Earth Power","12.183","297.8","538.5","2567"
"Porygon-Z","Charge Beam","Zap Cannon","12.182","297.1","537.1","3266"
"Charizard","Dragon Breath","Return","12.181","319.4","577.4","2889"
"Leafeon","Razor Leaf","Energy Ball","12.181","352.1","636.5","2944"
"Shadow Gyarados","Waterfall","Twister","12.181","327.1","591.2","3391"
"Gigalith","Mud Slap","Solar Beam","12.178","388.8","702.1","3228"
"Hitmonlee","Low Kick","Close Combat","12.178","251.8","454.8","2576"
"Emboar","Low Kick","Heat Wave","12.177","308.4","556.8","2982"
"Shadow Grimer","Poison Jab","Sludge Bomb","12.176","151.6","273.6","1374"
"Kingler","Bubble","X-Scissor","12.175","266.6","481.2","2829"
"Infernape","Rock Smash","Solar Beam","12.173","277.7","500.8","2683"
"Shadow Machoke","Low Kick","Submission","12.172","202","364.3","2031"
"Simisear","Bite","Flamethrower","12.171","245","441.8","2350"
"Mew","Shadow Claw","Grass Knot","12.167","456","821.4","3265"
"Mew","Shadow Claw","Wild Charge","12.167","456","821.4","3265"
"Emboar","Low Kick","Flame Charge","12.166","308.1","554.9","2982"
"Shadow Golduck","Confusion","Ice Beam","12.164","255.3","459.5","2450"
"Shiftry","Feint Attack","Return","12.164","254.9","458.7","2333"
"Shadow Golbat","Wing Attack","Shadow Ball","12.163","227.5","409.4","1976"
"Shadow Torterra","Bite","Stone Edge","12.162","329.8","593.4","2934"
"Escavalier","Bug Bite","Drill Run","12.161","318.8","573.4","2889"
"Aggron","Iron Tail","Heavy Slam","12.16","429.2","771.7","3000"
"Kingler","Bubble","Water Pulse","12.16","266.3","478.8","2829"
"Magmar","Ember","Flamethrower","12.16","253.9","456.5","2394"
"Gallade","Charm","Close Combat","12.159","326.1","586.2","3093"
"Mew","Dragon Tail","Grass Knot","12.158","455.6","818.8","3265"
"Mew","Dragon Tail","Wild Charge","12.158","455.6","818.8","3265"
"Raichu","Charm","Wild Charge","12.155","238","427.5","2182"
"Lunatone","Confusion","Psychic","12.154","314.6","564.7","2327"
"Solrock","Confusion","Psychic","12.154","314.6","564.7","2327"
"Pinsir","Fury Cutter","Close Combat","12.153","295.7","530.9","2959"
"Camerupt","Ember","Earth Power","12.151","238.1","427.2","2193"
"Ampharos","Volt Switch","Zap Cannon","12.149","344.4","617.6","2852"
"Shadow Gliscor","Fury Cutter","Aerial Ace","12.148","326.3","585.1","2692"
"Shadow Raticate","Bite","Hyper Fang","12.148","174.2","312.3","1730"
"Gyarados","Waterfall","Crunch","12.147","391.4","701.5","3391"
"Machamp","Bullet Punch","Cross Chop","12.145","325.6","583.2","3056"
"Mew","Steel Wing","Grass Knot","12.142","455","814.5","3265"
"Mew","Steel Wing","Wild Charge","12.142","455","814.5","3265"
"Celebi","Confusion","Hyper Beam","12.139","454.9","813.7","3265"
"Mew","Pound","Psyshock","12.138","454.9","813.5","3265"
"Seismitoad","Bubble","Earth Power","12.136","344.6","616","2564"
"Charizard","Dragon Breath","Fire Blast","12.135","318.2","568.7","2889"
"Mega Gyarados","Bite","Twister","12.134","560.6","1001.4","4717"
"Alolan Muk","Bite","Gunk Shot","12.133","390.5","697.4","2757"
"Shadow Marshtomp","Mud Shot","Surf","12.131","194.2","346.6","1776"
"Machamp","Bullet Punch","Close Combat","12.13","325.2","580.3","3056"
"Machoke","Low Kick","Dynamic Punch","12.13","241.6","431.2","2031"
"Blastoise","Bite","Hydro Cannon","12.128","379.3","676.5","2466"
"Gastly","Sucker Punch","Sludge Bomb","12.127","80.7","144","1229"
"Hitmonchan","Counter","Return","12.127","271.2","483.7","2332"
"Shadow Weezing","Acid","Thunderbolt","12.127","264.6","471.9","2293"
"Samurott","Waterfall","Blizzard","12.126","334.3","596.1","2826"
"Empoleon","Metal Claw","Drill Peck","12.123","358.5","638.7","2900"
"Mew","Shadow Claw","Psyshock","12.123","454.3","809.4","3265"
"Ho-Oh","Extrasensory","Earthquake","12.118","498.8","887.7","3863"
"Mew","Dragon Tail","Psyshock","12.115","454","807.3","3265"
"Vaporeon","Water Gun","Aqua Tail","12.115","432.1","768.4","3114"
"Donphan","Tackle","Earthquake","12.11","373.1","662.6","3013"
"Mew","Steel Wing","Psyshock","12.11","453.8","806","3265"
"Murkrow","Feint Attack","Drill Peck","12.108","145.7","258.6","1562"
"Shadow Porygon2","Hidden Power (Fire)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Fighting)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Water)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Flying)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Grass)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Poison)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Electric)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Ground)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Psychic)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Rock)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Ice)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Bug)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Dragon)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Ghost)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Dark)","Solar Beam","12.106","290.8","515.9","2711"
"Shadow Porygon2","Hidden Power (Steel)","Solar Beam","12.106","290.8","515.9","2711"
"Aerodactyl","Steel Wing","Earth Power","12.105","299.7","531.6","2783"
"Shadow Bellossom","Razor Leaf","Petal Blizzard","12.105","275.8","489.3","2281"
"Garchomp","Dragon Tail","Sand Tomb","12.103","443.8","786.8","3962"
"Dodrio","Steel Wing","Aerial Ace","12.102","221.3","392.3","2362"
"Shadow Flygon","Mud Shot","Stone Edge","12.1","262.5","465","2661"
"Hippowdon","Fire Fang","Earthquake","12.098","439.3","777.9","3085"
"Shadow Crobat","Air Slash","Air Cutter","12.097","287.6","509.2","2646"
"Shadow Weezing","Infestation","Shadow Ball","12.096","264","467.1","2293"
"Crobat","Bite","Sludge Bomb","12.094","345","610.4","2646"
"Milotic","Waterfall","Surf","12.094","453.7","802.5","3005"
"Shadow Weezing","Tackle","Shadow Ball","12.091","263.9","466.3","2293"
"Stoutland","Lick","Wild Charge","12.09","352.1","622.1","2827"
"Vileplume","Acid","Return","12.09","299.3","528.9","2559"
"Golem","Mud Slap","Rock Blast","12.089","366.3","647.3","2949"
"Shadow Cacnea","Sucker Punch","Seed Bomb","12.089","94.6","167.1","1242"
"Absol","Psycho Cut","Megahorn","12.088","201.6","356.1","2526"
"Braviary","Air Slash","Close Combat","12.088","336.2","593.8","3088"
"Celebi","Confusion","Dazzling Gleam","12.087","452.9","799.8","3265"
"Cranidos","Zen Headbutt","Ancient Power","12.087","131.3","231.8","1820"
"Jirachi","Confusion","Dazzling Gleam","12.087","452.9","799.8","3265"
"Swampert","Water Gun","Return","12.087","382.5","675.4","2974"
"Piloswine","Powder Snow","Avalanche","12.085","308","543.6","2345"
"Weepinbell","Acid","Sludge Bomb","12.085","159.7","281.9","1611"
"Shadow Slowbro","Confusion","Ice Beam","12.083","314.8","555.3","2545"
"Staraptor","Wing Attack","Close Combat","12.083","276.8","488.4","2825"
"Empoleon","Waterfall","Drill Peck","12.079","357.2","629.5","2900"
"Sneasel","Feint Attack","Foul Play","12.078","217.3","382.9","2051"
"Carracosta","Water Gun","Surf","12.077","344.7","607.1","2621"
"Aggron","Smack Down","Heavy Slam","12.075","426.2","750.5","3000"
"Donphan","Counter","Play Rough","12.074","372","654.8","3013"
"Jolteon","Volt Switch","Thunder","12.073","293.8","517","2888"
"Scyther","Air Slash","Aerial Ace","12.073","289.8","510","2706"
"Vileplume","Razor Leaf","Return","12.071","298.8","525.6","2559"
"Shadow Electabuzz","Low Kick","Thunder","12.069","214.9","377.8","2334"
"Thundurus (Therian Forme)","Astonish","Brick Break","12.069","299.2","526","3659"
"Piloswine","Ice Shard","Avalanche","12.067","307.5","540.3","2345"
"Mamoswine","Mud Slap","Ancient Power","12.066","346.5","608.7","3328"
"Samurott","Waterfall","Megahorn","12.065","332.7","584.2","2826"
"Sawsbuck","Feint Attack","Solar Beam","12.064","276.3","485.1","2416"
"Luxray","Hidden Power (Electric)","Hyper Beam","12.063","293.4","515.1","2888"
"Snorlax","Lick","Hyper Beam","12.063","531.4","932.7","3225"
"Gorebyss","Water Gun","Psychic","12.062","261.5","458.8","2494"
"Empoleon","Metal Claw","Blizzard","12.061","356.7","625.8","2900"
"Shaymin (Land Forme)","Hidden Power (Fire)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Fighting)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Water)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Flying)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Poison)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Electric)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Ground)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Psychic)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Rock)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Ice)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Bug)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Dragon)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Ghost)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Dark)","Solar Beam","12.061","452","793.1","3265"
"Shaymin (Land Forme)","Hidden Power (Steel)","Solar Beam","12.061","452","793.1","3265"
"Mesprit","Confusion","Blizzard","12.058","389.4","682.8","3058"
"Shadow Charmeleon","Fire Fang","Flame Burst","12.056","163.2","286","1653"
"Machamp","Bullet Punch","Submission","12.055","323.2","566.1","3056"
"Magneton","Charge Beam","Zap Cannon","12.054","234","409.8","2485"
"Rotom Wash","Thunder Shock","Hydro Pump","12.053","297.5","521","2579"
"Kingdra","Dragon Breath","Hydro Pump","12.049","342.5","599.1","2641"
"Kabutops","Waterfall","Ancient Power","12.047","285.7","499.4","2713"
"Ursaring","Shadow Claw","Close Combat","12.047","295.1","515.9","2945"
"Maractus","Bullet Seed","Solar Beam","12.046","237.6","415.3","2274"
"Lilligant","Hidden Power (Fire)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Fighting)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Water)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Flying)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Poison)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Electric)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Ground)","Solar Beam","12.045","265.7","464.3","2550"
"Lilligant","Hidden Power (Psychic)","Solar Beam","12.045","265.7","464.3","2550"
